"#user_id","#account_id",新增日期,激励pv,激励ecpm,其他pv,其他ecpm,关卡数,cpa,7日回收
845673353643175936,31647e70d70bae7a,2021-05-22,19,65.37,74,14.73,8,3.50,5.24
845622004592939008,212d0ed4c32581f4,2021-05-22,5,97.50,24,8.33,1,3.26,0.69
845335730043105281,c3260bdbaef747d3,2021-05-21,137,124.49,286,12.57,36,3.34,24.42
845310156698689536,74346f4592a9f9fb,2021-05-21,7,106.93,38,7.32,4,3.34,2.23
845307510218035202,0e1776530a3b41cf,2021-05-21,26,165.59,69,36.57,3,3.30,10.12
845624869299036166,6d6edf2c0f7935dc,2021-05-22,6,65.00,21,5.95,3,3.50,0.70
845625472877998083,519bfda2f2244904,2021-05-22,7,154.21,25,42.20,2,3.26,2.13
845259243407421441,705fd9f92f2f54f2,2021-05-21,5,188.28,19,40.68,2,3.62,1.71
845357932161011712,4b4bccdb827df237,2021-05-21,26,73.90,175,10.57,20,3.62,3.77
845699444682002432,7c136e20cb512374,2021-05-22,9,122.04,22,19.95,2,3.50,1.54
845701912352927744,a5c81d23f84b082d,2021-05-22,3,126.50,8,6.25,1,3.26,2.89
845640082735898624,da7406e416a82ccd,2021-05-22,21,227.93,14,20.50,1,3.50,5.07
845622807177863173,01946270c75aa755,2021-05-22,4,115.00,16,7.44,2,3.26,0.76
845308517786324992,758db68a4010ba23,2021-05-21,9,105.56,22,10.23,2,1.84,3.99
845625782369656832,15bfb2e2a90c4df6,2021-05-22,12,117.92,31,15.31,2,3.26,1.89
845637191262412804,2b81a5919431a1c6,2021-05-22,32,86.22,120,8.09,8,3.50,14.22
845258618883944448,16bdb8ae75adcac5,2021-05-21,20,121.60,64,6.98,13,2.36,2.88
845727665763524608,fdda84254fc53720,2021-05-22,4,201.24,20,23.75,3,3.26,1.28
845719099348234240,6c94b19846840a7c,2021-05-22,55,82.88,200,8.52,20,4.90,6.26
845715753046118400,19d6153a9cd0a7a1,2021-05-22,9,87.11,26,6.00,6,1.24,1.24
845708520103747584,0223d9de4e763dcd,2021-05-22,2,200.00,7,29.43,1,3.26,0.61
845357122472255488,995240e975476ace,2021-05-21,4,145.00,15,6.67,2,3.62,0.68
845701661863059456,4e6f859797f39b33,2021-05-22,9,82.78,24,32.71,1,3.26,1.53
845693536266620928,4fcb8004b350988a,2021-05-22,5,97.50,11,6.82,1,5.96,2.70
845698970386571267,9ec94b44131025da,2021-05-22,11,89.32,53,16.57,7,3.50,3.01
845676501707403272,43e68f625221ed74,2021-05-22,17,78.98,51,5.78,5,0.00,1.64
845685882807525376,f70654a4d9850575,2021-05-22,21,52.90,84,8.61,10,3.50,7.81
845323247437885440,4311eab09e2bd6b4,2021-05-21,5,109.90,16,5.31,1,3.62,2.85
845288341605330944,4b321d2e127e5bbd,2021-05-21,7,185.86,25,15.20,4,2.57,2.06
845628825024475141,a483fd73e3acb7c9,2021-05-22,2,98.50,5,27.00,2,3.50,0.33
845629984044888064,e11c19f6e0abcdd3,2021-05-22,10,74.75,23,5.30,3,3.50,0.90
845626228098342912,0bce8ffdce8769c6,2021-05-22,13,84.19,39,5.64,5,3.26,1.31
845259215890288640,c6495c7404d0cf25,2021-05-21,5,192.00,17,11.44,4,3.62,1.15
845695563242024960,c0f8e7c5306dc425,2021-05-22,57,34.95,151,6.34,7,3.26,2.95
845698201431576576,e468b1367e0fa303,2021-05-22,23,76.90,92,6.98,11,3.26,2.41
845697255758630915,62477980a7af23f0,2021-05-22,10,84.20,18,7.22,5,3.50,0.97
