341,76,66.42,311,8.34,28,1
342,45,56.81,196,7.29,7,1
343,36,46.28,56,5.5,4,0
344,12,105.44,43,12.47,7,0
345,10,80.4,31,27.08,3,0
346,4,99.87,21,12.67,1,0
347,34,164.41,104,11.35,16,1
348,4,197.45,5,8,1,0
349,17,62,29,10,3,1
350,2,98.75,8,5.63,1,0
351,3,97.5,15,18.03,1,0
352,2,97.5,9,18.33,1,0
353,69,26.83,283,5.93,31,1
354,4,237.5,15,25.8,2,1
355,18,136.11,59,10.47,6,0
356,26,83.52,88,7.72,12,0
357,13,44.35,35,5.97,4,0
358,6,92.08,35,7.4,4,0
359,6,140.81,19,12.84,1,0
360,43,121.19,80,25.97,3,1
361,3,78.77,18,36.5,1,0
362,33,80.72,100,7.99,8,1
363,17,92.65,46,9.46,6,0
364,1,229.81,12,19.5,1,0
365,14,139.29,42,17.83,6,0
366,10,112.6,32,23.23,5,1
367,14,93.5,37,6.19,3,0
368,54,33.06,121,6.98,5,1
369,5,99,19,26.05,1,0
370,116,40.68,584,6.7,62,1
371,3,173.33,9,23.78,2,0
372,41,40.26,129,6.65,14,1
373,8,69.06,11,5.45,1,0
374,32,72.86,120,6.41,3,1
375,3,166.67,15,5.67,1,0
376,6,126,20,8.25,5,1
377,31,124.95,58,26.47,2,1
378,5,99.4,16,15.56,3,0
379,16,141.16,40,12.78,6,0
380,5,55.5,19,11.58,2,0
381,16,81.09,68,5.91,4,0
382,1,99.5,6,5.83,1,0
383,16,107.5,53,15.64,3,0
384,49,63.42,111,8.95,1,1
385,5,121.3,12,24.5,1,0
386,37,428.22,84,15.43,14,1
387,57,35.61,248,5.82,31,1
388,4,59.81,13,6.15,2,0
389,11,70.68,37,5.68,4,0
390,22,44.01,92,13.23,6,0
391,7,29.29,52,9.81,13,0
392,23,119.2,60,19.58,14,1
393,73,67.25,300,5.62,32,1
394,10,68.2,62,6.52,8,0
395,8,107.79,50,11.06,1,0
396,13,296.1,33,14.09,5,1
397,9,394.48,31,29.94,3,1
398,5,530,11,14.36,1,1
399,5,562.27,10,26,2,1
400,38,119.67,93,8.92,15,1
401,9,82.78,21,19.52,4,0
402,4,85.62,11,6.18,2,1
403,5,98.7,17,7.65,4,0
404,4,99.63,18,10.28,3,0
405,17,98.06,179,12.95,19,1
406,5,98.5,7,22.14,1,0
407,4,144.74,13,15,2,0
408,28,81.43,77,7.14,1,0
409,2,81.25,7,5.71,1,0
410,12,146.54,47,32.21,3,0
411,11,93.14,18,4.94,2,0
412,5,500,14,44.29,2,1
413,6,167.56,32,30.5,3,0
414,21,94.29,46,9.28,1,1
415,1,180,7,12.86,1,0
416,23,28.67,33,5.45,3,0
417,6,71.42,18,5.28,1,0
418,7,132.53,52,5.31,8,1
419,8,167.62,18,14.44,2,0
420,11,105.89,19,5.79,3,0
421,15,78.83,46,7.5,6,0
422,76,101.09,245,18.88,36,1
423,10,149.6,22,10.55,3,0
424,5,119.5,26,13.15,3,0
425,2,145.35,11,33.64,1,0
426,15,289.97,91,22.37,17,1
427,45,69.02,215,6.47,15,1
428,71,58.7,273,6.11,28,1
429,32,41.88,191,8.65,22,1
430,1,300,9,44,1,0
431,45,48.42,196,8.48,17,1
432,5,45,52,8.82,3,0
433,14,86.93,51,7.25,6,0
434,32,66.11,132,12.42,7,1
435,7,144.21,26,12.79,3,0
436,13,92.69,43,8.02,3,0
437,9,126.67,27,5.93,1,0
438,2,324.02,9,33.89,1,0
439,29,43.81,796,8.27,180,1
440,14,74.56,55,11.75,6,1
441,7,113.64,33,22.76,6,0
442,14,173.54,29,18.88,1,1
443,4,134.25,15,13.13,1,0
444,27,98.92,119,11.08,12,1
445,4,112.5,67,18.78,10,0
446,11,189.4,38,6.03,9,0
447,34,137.2,118,7.61,24,1
448,39,169.2,127,13.98,27,1
449,7,77.5,17,5.59,1,0
450,8,47.19,49,6.51,5,0
451,57,31.87,289,6.92,27,1
452,7,135.71,16,16,2,0
453,11,273,55,30.22,6,1
454,5,440,44,53.18,7,1
455,5,89.9,14,6.07,1,0
456,13,146.31,43,16.23,5,0
457,5,310,12,5.83,2,1
458,58,61.51,199,6.28,27,1
459,8,93.94,17,8.59,2,0
460,195,108.46,873,10.76,107,1
461,11,121.93,23,13.91,3,0
462,5,230,17,16.88,2,0
463,8,138.62,24,17.96,2,0
464,3,98.83,15,20.27,1,0
465,35,154.24,94,6.85,18,1
466,20,145.48,24,13.85,2,0
467,3,100.67,11,14.09,1,1
468,11,116.45,31,14.16,5,0
469,79,271.57,237,25.05,37,1
470,81,275.37,230,12.01,12,1
471,18,302.78,74,18.02,11,1
472,1,145.35,5,13,1,0
473,6,291.67,17,22.65,1,0
474,1,145.35,6,25,1,0
475,60,20.95,162,5.99,16,0
476,97,14.86,235,6.4,25,1
477,2,175.5,8,32.5,1,0
478,75,186.94,134,14.33,28,1
479,4,115,8,4.63,1,0
480,10,73.8,28,9.11,4,0
481,73,20.38,168,6.49,11,1
482,11,97.84,29,15.69,5,0
483,22,167.56,101,23.57,11,1
484,4,99.87,14,6.43,2,0
485,34,128.71,77,23.6,3,1
486,12,291.84,27,21,1,1
487,3,185.05,5,11,1,0
488,12,128.21,57,10.23,5,0
489,8,203.75,30,8.03,6,0
490,84,40.21,246,7.5,32,1
491,38,63,135,5.84,17,1
492,7,113.01,19,17.37,1,1
493,9,87.22,23,20.43,3,0
494,5,97.5,13,18.69,1,0
495,47,74.71,184,6.65,21,0
496,223,33.41,818,6.1,146,1
497,5,490,15,35.6,4,0
498,7,174.14,17,20,1,0
499,4,93.13,12,12.08,2,0
500,13,81.25,25,13.58,5,1
501,4,122.36,19,12.37,1,0
502,5,150.04,11,15.91,1,0
503,10,135,29,12.86,4,0
504,7,152.93,11,24.55,2,0
505,7,107.64,15,6,2,0
506,9,103.61,29,7.21,5,0
507,11,136.43,31,6.74,2,0
508,4,612.5,22,41.41,2,0
509,9,255.69,25,13.52,3,1
510,5,298.29,10,30.5,1,0
511,5,81.5,43,10.56,4,0
512,5,78,20,9,1,0
513,3,350,16,14.44,1,0
514,63,40.05,163,6.69,20,1
515,5,98.9,9,5.56,1,0
516,1,145.35,7,27.57,1,0
517,61,50.32,82,5.76,10,1
518,25,72.58,84,6.64,12,0
519,5,470,11,6.82,2,0
520,12,78.82,48,15.13,7,0
521,7,91.43,25,13.12,4,0
522,9,78.89,15,5.67,1,0
523,4,73.13,9,7.93,1,0
524,10,262.77,19,6.21,3,0
525,7,74.07,17,12.35,2,1
526,25,58.3,51,5.69,5,0
527,61,50.21,234,6.17,18,1
528,5,114.4,12,5.83,2,0
529,3,229.81,15,32,2,0
530,157,31.12,498,6.61,66,1
531,12,97.92,38,5.66,6,0
532,10,74.22,21,5.24,1,1
533,15,17.77,58,6.22,6,0
534,17,43.82,44,5.68,6,0
535,24,95.75,114,12.89,12,1
536,2,26.25,10,5.4,1,0
537,1,40,41,7.88,6,1
538,33,154.79,39,10.46,1,1
